,px,py,xtrue,ytrue
369,-0.19748638903423327,0.5871397433990304,-0.2973421812057495,0.6065711379051208
370,-0.1869429505269288,0.5907745033378966,-0.2873840630054474,0.6074814200401306
371,-0.1763299144818306,0.5941976581836399,-0.2774036228656769,0.608100950717926
372,-0.16565127660007756,0.5974075857885318,-0.26740920543670654,0.6084234714508057
373,-0.1549110818117888,0.6004027530885722,-0.25740960240364075,0.6084513664245605
374,-0.14411341700972793,0.6031817087722786,-0.24741338193416595,0.6081899404525757
375,-0.13326240869607472,0.6057430911191893,-0.2374294251203537,0.6076305508613586
376,-0.12236221966161887,0.6080856243274813,-0.22746703028678894,0.6067686080932617
377,-0.11141704119830066,0.6102080971453205,-0.21753554046154022,0.6056033968925476
378,-0.10043109944195742,0.6121093760857993,-0.20764395594596863,0.6041374802589417
379,-0.08940865643568652,0.613788409890809,-0.19780035316944122,0.6023779511451721
380,-0.07835400698135511,0.6152442335207057,-0.18801356852054596,0.6003258228302002
381,-0.06727148116885126,0.6164759910408528,-0.1782923936843872,0.5979824662208557
382,-0.05616543237603292,0.6174829067465776,-0.1686425656080246,0.5953605771064758
383,-0.045040233816560596,0.6182642872660016,-0.1590694636106491,0.5924710631370544
384,-0.03390028190854103,0.6188195324967313,-0.14958080649375916,0.5893152952194214
385,-0.022749996039631667,0.6191481463869843,-0.1401824951171875,0.585899829864502
386,-0.011593813821956615,0.6192497120675029,-0.1308809518814087,0.5822290182113647
387,-0.0004361879061569457,0.6191239010509082,-0.12168197333812714,0.5783081650733948
388,0.010718408557213552,0.618770499228646,-0.11258789151906967,0.5741497874259949
389,0.021865488752617346,0.6181894029054391,-0.10360437631607056,0.5697576403617859
390,0.03300056038258545,0.6173805973929191,-0.09473451972007751,0.5651401877403259
391,0.04411912636274509,0.6163441512091157,-0.08597440272569656,0.5603176951408386
392,0.055216695164749,0.6150801903608057,-0.07732538878917694,0.5552986860275269
393,0.06628877477057839,0.6135889211350333,-0.0687907412648201,0.550087571144104
394,0.07733085958918902,0.6118706774243609,-0.06036895141005516,0.5446959137916565
395,0.08833843222557637,0.6099259188424272,-0.05206073448061943,0.5391308665275574
396,0.09930697195017867,0.6077552246804515,-0.043872106820344925,0.5333912968635559
397,0.11023195783361875,0.6053592992398723,-0.03580700606107712,0.5274794101715088
398,0.12110887032301423,0.6027389750933317,-0.02786773070693016,0.5213996171951294
399,0.1319332023859544,0.5998951876313144,-0.02006400004029274,0.5151468515396118
400,0.1427004628282062,0.5968289762359458,-0.01239919476211071,0.5087244510650635
401,0.15340618372837475,0.5935414799521079,-0.00487331859767437,0.5021398067474365
402,0.16404591192706175,0.5900339403169769,0.002506416290998459,0.4953918159008026
403,0.17461521849119155,0.5863076880038975,0.009734882041811943,0.4884820282459259
404,0.18510970031756668,0.5823641501214621,0.01681712083518505,0.48142239451408386
405,0.1955249924363856,0.5782048297548306,0.023754529654979706,0.4742203950881958
406,0.2058567682110095,0.5738313038140986,0.030542731285095215,0.4668775796890259
407,0.2161007402353241,0.5692452235699079,0.037181124091148376,0.4593990445137024
408,0.2262526794440532,0.5644482808456064,0.04366980493068695,0.4517902433872223
409,0.2363084049246581,0.5594422373041567,0.05000684782862663,0.4440547227859497
410,0.24626377362885882,0.5542289346352448,0.05619167909026146,0.4361969232559204
411,0.2561146687990187,0.5488103231929083,0.062229689210653305,0.4282257556915283
412,0.26585701399482276,0.5431884420315559,0.0681220144033432,0.42014628648757935
413,0.2754867809661924,0.537365412802584,0.07386495918035507,0.4119599759578705
414,0.2849999771859604,0.5313434623818969,0.07946083694696426,0.4036724269390106
415,0.2943926543690859,0.525124913264575,0.08490868657827377,0.39528682827949524
416,0.30366090067532947,0.5187121987900326,0.09020590782165527,0.3868052661418915
417,0.3128008473721921,0.5121078495573439,0.0953603982925415,0.37823620438575745
418,0.32180866399724317,0.5053145074560259,0.10037608444690704,0.36958515644073486
419,0.3306805603925821,0.4983349316890214,0.10525374859571457,0.3608555197715759
420,0.3394128092403203,0.49117196495520815,0.10999491065740585,0.3520510196685791
421,0.34800175793680793,0.48382850392523113,0.1146051213145256,0.3431772291660309
422,0.3564438073180922,0.4763075237641865,0.11909017711877823,0.33423951268196106
423,0.3647354042677281,0.4686120948015541,0.12344931811094284,0.32523971796035767
424,0.37287303852765946,0.4607453913980557,0.12768755853176117,0.31618234515190125
425,0.3808532843110233,0.4527106445387331,0.13181756436824799,0.3070751130580902
426,0.3886728055042915,0.444511141520917,0.135853573679924,0.29792580008506775
427,0.39632835981127,0.43615021513410235,0.13980665802955627,0.2887403666973114
428,0.40381678357906176,0.4276312675501661,0.1436716765165329,0.2795175313949585
429,0.4111349869163906,0.41895778143603263,0.14743945002555847,0.27025455236434937
430,0.41827994107259553,0.4101333339291219,0.15111155807971954,0.26095321774482727
431,0.4252486750695542,0.40116158413966807,0.1546960175037384,0.25161775946617126
432,0.4320382805196935,0.39204626020553823,0.15819525718688965,0.24225002527236938
433,0.43864591906663647,0.38279115394627605,0.16160638630390167,0.2328498363494873
434,0.4450688379007311,0.37340010959875924,0.16493326425552368,0.22341950237751007
435,0.45130437469239754,0.36387702014034584,0.16817915439605713,0.21396099030971527
436,0.45734995049047034,0.35422583729103035,0.17135022580623627,0.20447711646556854
437,0.4632030600510485,0.34445057463802015,0.17444869875907898,0.1949692964553833
438,0.46886127097595165,0.33455531683432216,0.17747147381305695,0.1854371279478073
439,0.4743222377298252,0.3245441941021606,0.1804201900959015,0.1758817881345749
440,0.4795837100233483,0.3144213814726735,0.18330475687980652,0.16630688309669495
441,0.48464353235483504,0.3041910826865507,0.1861339807510376,0.15671546757221222
442,0.48949966467894446,0.293857511478688,0.18890321254730225,0.1471065729856491
443,0.4941501616159573,0.28342491582658236,0.19160999357700348,0.13747990131378174
444,0.49859315154392014,0.27289759398691305,0.19426077604293823,0.1278376430273056
445,0.5028268507315306,0.262279880965244,0.1968616247177124,0.11818179488182068
446,0.5068495704109166,0.2515761319700083,0.1994204968214035,0.10851474106311798
447,0.5106597218519973,0.24079072794830983,0.20194347202777863,0.09883825480937958
448,0.5142558215057036,0.22992806301660648,0.2044210433959961,0.08915004879236221
449,0.5176364847698691,0.21899252543738298,0.20684339106082916,0.07944788783788681
450,0.520800414480461,0.20798851374668154,0.20920595526695251,0.06973100453615189
